trial,condition,question,response_text,raw_response_text,final_response_text,tool_calls,grounding_violation,grounding_violations,token_usage,token_usage_total,llm_error,response_time_ms,npc_steps,npc_coverage,npc_knowledge,target_location,target_was_observed,knowledge_mode,response_mode,accuracy,relevance,groundedness
0,Perfect + Deterministic,Where is the crimson flag?,"Aye, I found a crimson flag coordinates (13, 6).","Aye, I found a crimson flag coordinates (13, 6).","Aye, I found a crimson flag coordinates (13, 6).",[],False,[],[],{},,0.003082997864112258,0,1.0,"['I am currently the tavern.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag coordinates (13, 6).', 'I found a soul gem coordinates (12, 14).', 'I found a sapphire banner main road.', 'I found a sapphire rune stone coordinates (4, 8).', 'I found a emerald gem coordinates (7, 6).', 'I found a emerald banner coordinates (14, 12).', 'I found a alchemy ingredient coordinates (13, 4).', 'I found a amethyst gem coordinates (7, 5).', 'I found a amethyst banner coordinates (9, 14).', 'I found a amethyst rune stone coordinates (14, 3).', 'I found a crimson gem farmhouse.', 'I found a crimson rune stone town center.', 'I found a golden gem guard post.', 'I found a golden banner coordinates (9, 12).', 'I found a golden rune stone coordinates (4, 14).']","(13, 6)",True,perfect,deterministic,1.0,1.0,1.0
1,Perfect + Deterministic,Where is the crimson flag?,"Aye, I found a crimson flag coordinates (2, 9).","Aye, I found a crimson flag coordinates (2, 9).","Aye, I found a crimson flag coordinates (2, 9).",[],False,[],[],{},,0.002792003215290606,0,1.0,"['I am currently the tavern.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag coordinates (2, 9).', 'I found a soul gem coordinates (13, 12).', 'I found a sapphire banner guard post.', 'I found a sapphire rune stone by the well.', 'I found a emerald gem coordinates (7, 12).', 'I found a emerald banner coordinates (7, 7).', 'I found a alchemy ingredient coordinates (10, 6).', 'I found a amethyst gem coordinates (12, 3).', 'I found a amethyst banner coordinates (1, 7).', 'I found a amethyst rune stone coordinates (0, 14).', 'I found a crimson gem coordinates (13, 6).', 'I found a crimson rune stone coordinates (6, 9).', 'I found a golden gem coordinates (12, 12).', 'I found a golden banner coordinates (0, 11).', 'I found a golden rune stone coordinates (7, 4).']","(2, 9)",True,perfect,deterministic,1.0,1.0,1.0
2,Perfect + Deterministic,Where is the crimson flag?,"Aye, I found a crimson flag near the blacksmith.","Aye, I found a crimson flag near the blacksmith.","Aye, I found a crimson flag near the blacksmith.",[],False,[],[],{},,0.0016669946489855647,0,1.0,"['I am currently the tavern.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag near the blacksmith.', 'I found a soul gem coordinates (1, 5).', 'I found a sapphire banner caravan stop.', 'I found a sapphire rune stone coordinates (11, 12).', 'I found a emerald gem coordinates (10, 13).', 'I found a emerald banner coordinates (4, 4).', 'I found a alchemy ingredient coordinates (9, 3).', 'I found a amethyst gem ancient ruins.', 'I found a amethyst banner coordinates (9, 10).', 'I found a amethyst rune stone coordinates (2, 6).', 'I found a crimson gem coordinates (10, 6).', 'I found a crimson rune stone coordinates (12, 11).', 'I found a golden gem coordinates (13, 8).', 'I found a golden banner coordinates (5, 8).', 'I found a golden rune stone coordinates (14, 7).']","(0, 1)",True,perfect,deterministic,1.0,1.0,1.0
3,Perfect + Deterministic,Where is the crimson flag?,"Aye, I found a crimson flag coordinates (3, 9).","Aye, I found a crimson flag coordinates (3, 9).","Aye, I found a crimson flag coordinates (3, 9).",[],False,[],[],{},,0.0013750104699283838,0,1.0,"['I am currently the tavern.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag coordinates (3, 9).', 'I found a soul gem farmhouse.', 'I found a sapphire banner coordinates (5, 14).', 'I found a sapphire rune stone coordinates (9, 7).', 'I found a emerald gem coordinates (10, 9).', 'I found a emerald banner coordinates (1, 9).', 'I found a alchemy ingredient coordinates (0, 14).', 'I found a amethyst gem coordinates (13, 7).', 'I found a amethyst banner coordinates (4, 8).', 'I found a amethyst rune stone coordinates (3, 3).', 'I found a crimson gem coordinates (11, 7).', 'I found a crimson rune stone coordinates (8, 13).', 'I found a golden gem coordinates (8, 7).', 'I found a golden banner coordinates (6, 10).', 'I found a golden rune stone caravan stop.']","(3, 9)",True,perfect,deterministic,1.0,1.0,1.0
4,Perfect + Deterministic,Where is the crimson flag?,"Aye, I found a crimson flag coordinates (3, 4).","Aye, I found a crimson flag coordinates (3, 4).","Aye, I found a crimson flag coordinates (3, 4).",[],False,[],[],{},,0.0011660013115033507,0,1.0,"['I am currently the tavern.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag coordinates (3, 4).', 'I found a soul gem coordinates (1, 11).', 'I found a sapphire banner coordinates (6, 7).', 'I found a sapphire rune stone outside the inn.', 'I found a emerald gem market square.', 'I found a emerald banner coordinates (6, 8).', 'I found a alchemy ingredient coordinates (14, 4).', 'I found a amethyst gem coordinates (12, 12).', 'I found a amethyst banner coordinates (0, 3).', 'I found a amethyst rune stone coordinates (8, 8).', 'I found a crimson gem coordinates (5, 4).', 'I found a crimson rune stone watchtower base.', 'I found a golden gem trade route.', 'I found a golden banner coordinates (4, 3).', 'I found a golden rune stone southern outpost.']","(3, 4)",True,perfect,deterministic,1.0,1.0,1.0
0,Embodied + Deterministic,Where is the crimson flag?,"Aye, I found a crimson flag coordinates (13, 6).","Aye, I found a crimson flag coordinates (13, 6).","Aye, I found a crimson flag coordinates (13, 6).",[],False,[],[],{},,0.0014999968698248267,150,0.88,"['I am currently coordinates (4, 6).', ""I've explored 88% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson rune stone town center.', 'I found a amethyst gem coordinates (7, 5).', 'I found a emerald gem coordinates (7, 6).', 'I found a crimson gem farmhouse.', 'I found a sapphire banner main road.', 'I found a sapphire rune stone coordinates (4, 8).', 'I found a golden rune stone coordinates (4, 14).', 'I found a golden banner coordinates (9, 12).', 'I found a amethyst banner coordinates (9, 14).', 'I found a soul gem coordinates (12, 14).', 'I found a emerald banner coordinates (14, 12).', 'I found a crimson flag coordinates (13, 6).']","(13, 6)",True,embodied,deterministic,1.0,1.0,1.0
1,Embodied + Deterministic,Where is the crimson flag?,"Aye, I found a crimson flag coordinates (2, 9).","Aye, I found a crimson flag coordinates (2, 9).","Aye, I found a crimson flag coordinates (2, 9).",[],False,[],[],{},,0.0012499949662014842,150,0.8355555555555556,"['I am currently coordinates (7, 3).', ""I've explored 84% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a sapphire rune stone by the well.', 'I found a amethyst banner coordinates (1, 7).', 'I found a golden rune stone coordinates (7, 4).', 'I found a alchemy ingredient coordinates (10, 6).', 'I found a emerald banner coordinates (7, 7).', 'I found a crimson rune stone coordinates (6, 9).', 'I found a emerald gem coordinates (7, 12).', 'I found a golden gem coordinates (12, 12).', 'I found a crimson flag coordinates (2, 9).', 'I found a sapphire banner guard post.', 'I found a amethyst gem coordinates (12, 3).', 'I found a crimson gem coordinates (13, 6).']","(2, 9)",True,embodied,deterministic,1.0,1.0,1.0
2,Embodied + Deterministic,Where is the crimson flag?,"Aye, I found a crimson flag near the blacksmith.","Aye, I found a crimson flag near the blacksmith.","Aye, I found a crimson flag near the blacksmith.",[],False,[],[],{},,0.002792003215290606,150,0.6933333333333334,"['I am currently coordinates (6, 4).', ""I've explored 69% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag near the blacksmith.', 'I found a soul gem coordinates (1, 5).', 'I found a amethyst rune stone coordinates (2, 6).', 'I found a emerald banner coordinates (4, 4).', 'I found a golden banner coordinates (5, 8).', 'I found a amethyst banner coordinates (9, 10).', 'I found a crimson gem coordinates (10, 6).', 'I found a alchemy ingredient coordinates (9, 3).']","(0, 1)",True,embodied,deterministic,1.0,1.0,1.0
3,Embodied + Deterministic,Where is the crimson flag?,"Aye, I found a crimson flag coordinates (3, 9).","Aye, I found a crimson flag coordinates (3, 9).","Aye, I found a crimson flag coordinates (3, 9).",[],False,[],[],{},,0.002125001628883183,150,0.9111111111111111,"['I am currently coordinates (6, 8).', ""I've explored 91% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a amethyst rune stone coordinates (3, 3).', 'I found a amethyst banner coordinates (4, 8).', 'I found a emerald banner coordinates (1, 9).', 'I found a crimson flag coordinates (3, 9).', 'I found a golden banner coordinates (6, 10).', 'I found a crimson rune stone coordinates (8, 13).', 'I found a sapphire banner coordinates (5, 14).', 'I found a alchemy ingredient coordinates (0, 14).', 'I found a golden gem coordinates (8, 7).', 'I found a sapphire rune stone coordinates (9, 7).', 'I found a emerald gem coordinates (10, 9).', 'I found a crimson gem coordinates (11, 7).', 'I found a amethyst gem coordinates (13, 7).', 'I found a soul gem farmhouse.']","(3, 9)",True,embodied,deterministic,1.0,1.0,1.0
4,Embodied + Deterministic,Where is the crimson flag?,"Aye, I found a crimson flag coordinates (3, 4).","Aye, I found a crimson flag coordinates (3, 4).","Aye, I found a crimson flag coordinates (3, 4).",[],False,[],[],{},,0.001624997821636498,150,0.64,"['I am currently coordinates (4, 10).', ""I've explored 64% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a amethyst banner coordinates (0, 3).', 'I found a emerald gem market square.', 'I found a sapphire rune stone outside the inn.', 'I found a golden banner coordinates (4, 3).', 'I found a crimson flag coordinates (3, 4).', 'I found a crimson gem coordinates (5, 4).', 'I found a sapphire banner coordinates (6, 7).', 'I found a emerald banner coordinates (6, 8).', 'I found a soul gem coordinates (1, 11).', 'I found a amethyst rune stone coordinates (8, 8).']","(3, 4)",True,embodied,deterministic,1.0,1.0,1.0
