trial,condition,question,response_text,raw_response_text,final_response_text,tool_calls,grounding_violation,grounding_violations,token_usage,token_usage_total,llm_error,response_time_ms,npc_steps,npc_coverage,npc_knowledge,target_location,target_was_observed,knowledge_mode,response_mode,competing,selective_attention,memory_decay_ticks,run_id,outcome_bucket,correct_via,chebyshev_distance,had_mixed_content,groundedness_rate,n_claims,n_grounded,n_shape_confusion,n_fabricated,on_topic,committal,false_refusal,judge_bucket,judge_correct_via,judge_chebyshev,judge_had_mixed,judge_on_topic,judge_committal,judge_n_claims,judge_n_grounded,judge_n_shape_conf,judge_n_fabricated,judge_groundedness,judge_naturalness,judge_reasoning,judge_error,regex_judge_agree
0,Perfect + Deterministic,Please show me where the crimson flag is.,"Aye, I found a crimson flag in the far eastern side.","Aye, I found a crimson flag in the far eastern side.","Aye, I found a crimson flag in the far eastern side.",[],False,[],[],{},,0.028799986466765404,0,1.0,"['I am currently in the far northwest corner.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag in the far eastern side.', 'I found a soul gem in the far southeast corner.', 'I found a sapphire banner in the far northern edge.', 'I found a sapphire rune stone in the western side.', 'I found a emerald gem in the centre.', 'I found a emerald banner in the far southeast corner.', 'I found a alchemy ingredient in the far northeast corner.', 'I found a amethyst gem in the centre.', 'I found a amethyst banner in the far southern edge.', 'I found a amethyst rune stone in the far northeast corner.', 'I found a crimson gem in the northern edge.', 'I found a crimson rune stone in the northwest corner.', 'I found a golden gem in the far northeast corner.', 'I found a golden banner in the southern edge.', 'I found a golden rune stone in the far southwest corner.']","(13, 6)",True,perfect,deterministic,False,,,20260420T234309_seed0_experiment_perfect_deterministic_trial0,correct,region,0.0,False,,0,0,0,0,True,True,False,correct,region,,False,True,True,1,1,0,0,1.0,5,The NPC observed the target and correctly stated its location by region.,,True
1,Perfect + Deterministic,Please show me where the crimson flag is.,"Aye, I found a crimson flag in the western side.","Aye, I found a crimson flag in the western side.","Aye, I found a crimson flag in the western side.",[],False,[],[],{},,0.015500001609325409,0,1.0,"['I am currently in the far northwest corner.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag in the western side.', 'I found a soul gem in the far southeast corner.', 'I found a sapphire banner in the far northeast corner.', 'I found a sapphire rune stone in the far northwest corner.', 'I found a emerald gem in the southern edge.', 'I found a emerald banner in the centre.', 'I found a alchemy ingredient in the eastern side.', 'I found a amethyst gem in the northeast corner.', 'I found a amethyst banner in the far western side.', 'I found a amethyst rune stone in the far southwest corner.', 'I found a crimson gem in the far eastern side.', 'I found a crimson rune stone in the centre.', 'I found a golden gem in the southeast corner.', 'I found a golden banner in the far southwest corner.', 'I found a golden rune stone in the northern edge.']","(2, 9)",True,perfect,deterministic,False,,,20260420T234317_seed1_experiment_perfect_deterministic_trial1,correct,region,0.0,False,,0,0,0,0,True,True,False,correct,region,,False,True,True,1,1,0,0,1.0,5,The NPC observed the target and correctly stated its region in the response.,,True
2,Perfect + Deterministic,Please show me where the crimson flag is.,"Aye, I found a crimson flag in the far northwest corner.","Aye, I found a crimson flag in the far northwest corner.","Aye, I found a crimson flag in the far northwest corner.",[],False,[],[],{},,0.014999997802078724,0,1.0,"['I am currently in the far northwest corner.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag in the far northwest corner.', 'I found a soul gem in the far western side.', 'I found a sapphire banner in the far northeast corner.', 'I found a sapphire rune stone in the southeast corner.', 'I found a emerald gem in the far southeast corner.', 'I found a emerald banner in the northwest corner.', 'I found a alchemy ingredient in the northern edge.', 'I found a amethyst gem in the far northern edge.', 'I found a amethyst banner in the southern edge.', 'I found a amethyst rune stone in the western side.', 'I found a crimson gem in the eastern side.', 'I found a crimson rune stone in the southeast corner.', 'I found a golden gem in the far eastern side.', 'I found a golden banner in the centre.', 'I found a golden rune stone in the far eastern side.']","(0, 1)",True,perfect,deterministic,False,,,20260420T234325_seed2_experiment_perfect_deterministic_trial2,correct,region,0.0,False,,0,0,0,0,True,True,False,correct,region,,False,True,True,1,1,0,0,1.0,5,The NPC observed the target and correctly stated its location by region.,,True
3,Perfect + Deterministic,Please show me where the crimson flag is.,"Aye, I found a crimson flag in the western side.","Aye, I found a crimson flag in the western side.","Aye, I found a crimson flag in the western side.",[],False,[],[],{},,0.016300007700920105,0,1.0,"['I am currently in the far northwest corner.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag in the western side.', 'I found a soul gem in the northern edge.', 'I found a sapphire banner in the far southern edge.', 'I found a sapphire rune stone in the centre.', 'I found a emerald gem in the eastern side.', 'I found a emerald banner in the far western side.', 'I found a alchemy ingredient in the far southwest corner.', 'I found a amethyst gem in the far eastern side.', 'I found a amethyst banner in the western side.', 'I found a amethyst rune stone in the northwest corner.', 'I found a crimson gem in the eastern side.', 'I found a crimson rune stone in the far southern edge.', 'I found a golden gem in the centre.', 'I found a golden banner in the southern edge.', 'I found a golden rune stone in the far northeast corner.']","(3, 9)",True,perfect,deterministic,False,,,20260420T234333_seed3_experiment_perfect_deterministic_trial3,correct,region,0.0,False,,0,0,0,0,True,True,False,correct,region,,False,True,True,1,1,0,0,1.0,5,The NPC observed the target and correctly stated its region in the response.,,True
4,Perfect + Deterministic,Please show me where the crimson flag is.,"Aye, I found a crimson flag in the northwest corner.","Aye, I found a crimson flag in the northwest corner.","Aye, I found a crimson flag in the northwest corner.",[],False,[],[],{},,0.020299979951232672,0,1.0,"['I am currently in the far northwest corner.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag in the northwest corner.', 'I found a soul gem in the far southwest corner.', 'I found a sapphire banner in the centre.', 'I found a sapphire rune stone in the far northwest corner.', 'I found a emerald gem in the far northwest corner.', 'I found a emerald banner in the centre.', 'I found a alchemy ingredient in the far northeast corner.', 'I found a amethyst gem in the southeast corner.', 'I found a amethyst banner in the far northwest corner.', 'I found a amethyst rune stone in the centre.', 'I found a crimson gem in the northern edge.', 'I found a crimson rune stone in the northeast corner.', 'I found a golden gem in the far northeast corner.', 'I found a golden banner in the northwest corner.', 'I found a golden rune stone in the far northeast corner.']","(3, 4)",True,perfect,deterministic,False,,,20260420T234341_seed4_experiment_perfect_deterministic_trial4,correct,region,0.0,False,,0,0,0,0,True,True,False,correct,region,,False,True,True,1,1,0,0,1.0,5,The NPC correctly stated the region where it had observed the queried crimson flag.,,True
5,Perfect + Deterministic,Please show me where the crimson flag is.,"Aye, I found a crimson flag in the northern edge.","Aye, I found a crimson flag in the northern edge.","Aye, I found a crimson flag in the northern edge.",[],False,[],[],{},,0.019700004486367106,0,1.0,"['I am currently in the far northwest corner.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag in the northern edge.', 'I found a soul gem in the eastern side.', 'I found a sapphire banner in the southeast corner.', 'I found a sapphire rune stone in the far southeast corner.', 'I found a emerald gem in the far southeast corner.', 'I found a emerald banner in the far northern edge.', 'I found a alchemy ingredient in the far eastern side.', 'I found a amethyst gem in the northeast corner.', 'I found a amethyst banner in the far northeast corner.', 'I found a amethyst rune stone in the far northeast corner.', 'I found a crimson gem in the far western side.', 'I found a crimson rune stone in the far southern edge.', 'I found a golden gem in the western side.', 'I found a golden banner in the far northern edge.', 'I found a golden rune stone in the northern edge.']","(9, 4)",True,perfect,deterministic,False,,,20260420T234349_seed5_experiment_perfect_deterministic_trial5,correct,region,0.0,False,,0,0,0,0,True,True,False,correct,region,,False,True,True,1,1,0,0,1.0,5,The NPC observed the target and correctly stated its region in the response.,,True
6,Perfect + Deterministic,Please show me where the crimson flag is.,"Aye, I found a crimson flag in the eastern side.","Aye, I found a crimson flag in the eastern side.","Aye, I found a crimson flag in the eastern side.",[],False,[],[],{},,0.022299995180219412,0,1.0,"['I am currently in the far northwest corner.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag in the eastern side.', 'I found a soul gem in the far northeast corner.', 'I found a sapphire banner in the southern edge.', 'I found a sapphire rune stone in the far northwest corner.', 'I found a emerald gem in the far northwest corner.', 'I found a emerald banner in the eastern side.', 'I found a alchemy ingredient in the eastern side.', 'I found a amethyst gem in the southern edge.', 'I found a amethyst banner in the far northwest corner.', 'I found a amethyst rune stone in the southwest corner.', 'I found a crimson gem in the far eastern side.', 'I found a crimson rune stone in the far eastern side.', 'I found a golden gem in the southern edge.', 'I found a golden banner in the far northwest corner.', 'I found a golden rune stone in the centre.']","(12, 9)",True,perfect,deterministic,False,,,20260420T234358_seed6_experiment_perfect_deterministic_trial6,correct,region,0.0,False,,0,0,0,0,True,True,False,correct,region,,False,True,True,1,1,0,0,1.0,5,The NPC observed the target and correctly stated its region in the response.,,True
7,Perfect + Deterministic,Please show me where the crimson flag is.,"Aye, I found a crimson flag in the northern edge.","Aye, I found a crimson flag in the northern edge.","Aye, I found a crimson flag in the northern edge.",[],False,[],[],{},,0.017699989257380366,0,1.0,"['I am currently in the far northwest corner.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag in the northern edge.', 'I found a soul gem in the southern edge.', 'I found a sapphire banner in the far northwest corner.', 'I found a sapphire rune stone in the far eastern side.', 'I found a emerald gem in the far western side.', 'I found a emerald banner in the far northern edge.', 'I found a alchemy ingredient in the far eastern side.', 'I found a amethyst gem in the far northwest corner.', 'I found a amethyst banner in the far western side.', 'I found a amethyst rune stone in the far northern edge.', 'I found a crimson gem in the far northwest corner.', 'I found a crimson rune stone in the centre.', 'I found a golden gem in the far southwest corner.', 'I found a golden banner in the far northern edge.', 'I found a golden rune stone in the southwest corner.']","(5, 2)",True,perfect,deterministic,False,,,20260420T234407_seed7_experiment_perfect_deterministic_trial7,correct,region,0.0,False,,0,0,0,0,True,True,False,correct,region,,False,True,True,1,1,0,0,1.0,5,The NPC had observed the target and correctly stated its location by region.,,True
8,Perfect + Deterministic,Please show me where the crimson flag is.,"Aye, I found a crimson flag in the western side.","Aye, I found a crimson flag in the western side.","Aye, I found a crimson flag in the western side.",[],False,[],[],{},,0.016499980119988322,0,1.0,"['I am currently in the far northwest corner.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag in the western side.', 'I found a soul gem in the northern edge.', 'I found a sapphire banner in the southwest corner.', 'I found a sapphire rune stone in the far northwest corner.', 'I found a emerald gem in the northwest corner.', 'I found a emerald banner in the eastern side.', 'I found a alchemy ingredient in the western side.', 'I found a amethyst gem in the far northeast corner.', 'I found a amethyst banner in the centre.', 'I found a amethyst rune stone in the centre.', 'I found a crimson gem in the centre.', 'I found a crimson rune stone in the far southwest corner.', 'I found a golden gem in the far eastern side.', 'I found a golden banner in the far western side.', 'I found a golden rune stone in the southwest corner.']","(3, 5)",True,perfect,deterministic,False,,,20260420T234415_seed8_experiment_perfect_deterministic_trial8,correct,region,0.0,False,,0,0,0,0,True,True,False,correct,region,,False,True,True,1,1,0,0,1.0,5,The NPC observed the target and correctly stated its location by referencing the correct region.,,True
9,Perfect + Deterministic,Please show me where the crimson flag is.,"Aye, I found a crimson flag in the centre.","Aye, I found a crimson flag in the centre.","Aye, I found a crimson flag in the centre.",[],False,[],[],{},,0.015199999324977398,0,1.0,"['I am currently in the far northwest corner.', ""I've explored 100% of this region during my travels."", 'I have traveled through the NW, NE, SW, SE area(s).', 'I found a crimson flag in the centre.', 'I found a soul gem in the northern edge.', 'I found a sapphire banner in the northwest corner.', 'I found a sapphire rune stone in the far southeast corner.', 'I found a emerald gem in the far western side.', 'I found a emerald banner in the centre.', 'I found a alchemy ingredient in the far eastern side.', 'I found a amethyst gem in the far western side.', 'I found a amethyst banner in the far southern edge.', 'I found a amethyst rune stone in the southern edge.', 'I found a crimson gem in the far southwest corner.', 'I found a crimson rune stone in the northern edge.', 'I found a golden gem in the eastern side.', 'I found a golden banner in the eastern side.', 'I found a golden rune stone in the far northwest corner.']","(7, 9)",True,perfect,deterministic,False,,,20260420T234423_seed9_experiment_perfect_deterministic_trial9,correct,region,0.0,False,,0,0,0,0,True,True,False,correct,region,,False,True,True,1,1,0,0,1.0,5,The NPC observed the target and correctly reported its location by region.,,True
